name;type;category;power;accuracy;pp;effect;secondaryEffect
Shell Trap;Fire;Special;150;100;5;Deals more damage to opponent if hit by a Physical move.;0
Shelter;Steel;Status;0;0;10;Raises user's Defense.;0
Shift Gear;Steel;Status;0;0;10;Raises user's Attack and sharply raises Speed.;0
Shock Wave;Electric;Special;60;999;20;Ignores Accuracy and Evasiveness.;0
Shore Up;Ground;Status;0;0;5;The user regains up to half of its max HP. It restores more HP in a sandstorm.;0
Signal Beam;Bug;Special;75;100;15;May confuse opponent.;10
Silk Trap;Bug;Status;0;0;10;Protects the user and lowers opponent's Speed on contact.;0
Silver Wind;Bug;Special;60;100;5;May raise all stats of user at once.;10
Simple Beam;Normal;Status;0;100;15;Changes target's ability to Simple.;0
Sing;Normal;Status;0;55;15;Puts opponent to sleep.;0
Sinister Arrow Raid;Ghost;Physical;180;0;1;Decidueye-exclusive Z-Move.;0
Sizzly Slide;Fire;Physical;90;100;15;Burns the opponent.;100
Sketch;Normal;Status;0;0;1;Permanently copies the opponent's last move.;0
Skill Swap;Psychic;Status;0;0;10;The user swaps Abilities with the opponent.;0
Skitter Smack;Bug;Physical;70;90;10;Lowers opponent's Sp. Attack.;0
Skull Bash;Normal;Physical;130;100;10;Raises Defense on first turn, attacks on second.;100
Sky Attack;Flying;Physical;140;90;5;Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.;30
Sky Drop;Flying;Physical;60;100;10;Takes opponent into the air on first turn, drops them on second turn.;0
Sky Uppercut;Fighting;Physical;85;90;15;Hits the opponent, even during Fly.;0
Slack Off;Normal;Status;0;0;5;User recovers half its max HP.;0
Slam;Normal;Physical;80;75;20;;0
Slash;Normal;Physical;70;100;20;High critical hit ratio.;0
Sleep Powder;Grass;Status;0;75;15;Puts opponent to sleep.;0
Sleep Talk;Normal;Status;0;0;10;User performs one of its own moves while sleeping.;0
Sludge;Poison;Special;65;100;20;May poison opponent.;30
Sludge Bomb;Poison;Special;90;100;10;May poison opponent.;30
Sludge Wave;Poison;Special;95;100;10;May poison opponent.;10
Smack Down;Rock;Physical;50;100;15;Makes Flying-type Pokémon vulnerable to Ground moves.;100
Smart Strike;Steel;Physical;70;0;10;The user stabs the target with a sharp horn. This attack never misses.;0
Smelling Salts;Normal;Physical;70;100;10;Power doubles if opponent is paralyzed, but cures it.;0
Smog;Poison;Special;30;70;20;May poison opponent.;40
Smokescreen;Normal;Status;0;100;20;Lowers opponent's Accuracy.;0
Snap Trap;Grass;Physical;35;100;15;Traps opponent, damaging them for 4-5 turns.;100
Snarl;Dark;Special;55;95;15;Lowers opponent's Special Attack.;100
Snatch;Dark;Status;0;0;10;Steals the effects of the opponent's next move.;0
Snipe Shot;Water;Special;80;100;15;Ignores moves and abilities that draw in moves. High critical hit ratio.;0
Snore;Normal;Special;50;100;15;Can only be used if asleep. May cause flinching.;30
Snowscape;Ice;Status;0;0;10;Raises Defense of Ice types for 5 turns.;0
Soak;Water;Status;0;100;20;Changes the target's type to water.;0
Soft-Boiled;Normal;Status;0;0;5;User recovers half its max HP.;0
Solar Beam;Grass;Special;120;100;10;Charges on first turn, attacks on second.;0
Solar Blade;Grass;Physical;125;100;10;Charges on first turn, attacks on second.;0
Sonic Boom;Normal;Special;0;90;20;Always inflicts 20 HP.;0
Soul-Stealing 7-Star Strike;Ghost;Physical;195;0;1;Marshadow-exclusive Z-Move.;0
Spacial Rend;Dragon;Special;100;95;5;High critical hit ratio.;0
Spark;Electric;Physical;65;100;20;May paralyze opponent.;30
Sparkling Aria;Water;Special;90;100;10;Heals the burns of its target.;0
Sparkly Swirl;Fairy;Special;90;100;15;Cures all status problems in the party Pokémon.;0
Spectral Thief;Ghost;Physical;90;100;10;The user hides in the target's shadow, steals the target's stat boosts, and then attacks.;0
Speed Swap;Psychic;Status;0;0;10;The user exchanges Speed stats with the target.;0
Spicy Extract;Grass;Status;0;999;15;Harshly lowers the opponent's Defense and sharply raises their Attack.;0
Spider Web;Bug;Status;0;0;10;Opponent cannot escape/switch.;0
Spike Cannon;Normal;Physical;20;100;15;Hits 2-5 times in one turn.;0
Spikes;Ground;Status;0;0;20;Damages opponents switching into battle.;0
Spiky Shield;Grass;Status;0;0;10;Protects the user and inflicts damage on contact.;0
Spin Out;Steel;Physical;100;100;5;Harshly lowers user’s Speed.;0
Spirit Break;Fairy;Physical;75;100;15;Lowers opponent's Special Attack.;100
Spirit Shackle;Ghost;Physical;80;100;10;Prevents the opponent from switching out.;0
Spit Up;Normal;Special;0;100;10;Power depends on how many times the user performed Stockpile.;0
Spite;Ghost;Status;0;100;10;The opponent's last move loses 2-5 PP.;0
Splash;Normal;Status;0;0;40;Doesn't do ANYTHING.;0
Splintered Stormshards;Rock;Physical;190;0;1;Lycanroc-exclusive Z-Move.;0
Splishy Splash;Water;Special;90;100;15;May paralyze opponent.;30
Spore;Grass;Status;0;100;15;Puts opponent to sleep.;0
Spotlight;Normal;Status;0;0;15;The user shines a spotlight on the target so that only the target will be attacked during the turn.;0
Springtide Storm;Fairy;Special;100;80;5;Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.;0
Stealth Rock;Rock;Status;0;0;20;Damages opponents switching into battle.;0
Steam Eruption;Water;Special;110;95;5;May burn opponent.;30
Steamroller;Bug;Physical;65;100;20;May cause flinching.;30
Steel Beam;Steel;Special;140;95;5;User loses 50% of its HP.;0
Steel Roller;Steel;Physical;130;100;5;Fails if no Terrain in effect.;0
Steel Wing;Steel;Physical;70;90;25;May raise user's Defense.;10
Sticky Web;Bug;Status;0;0;20;Lowers opponent's Speed when switching into battle.;0
Stockpile;Normal;Status;0;0;20;Stores energy for use with Spit Up and Swallow.;0
Stoked Sparksurfer;Electric;Special;175;0;1;Alolan Raichu-exclusive Electric type Z-Move.;100
Stomp;Normal;Physical;65;100;20;May cause flinching.;30
Stomping Tantrum;Ground;Physical;75;100;10;Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.;0
Stone Axe;Rock;Physical;65;90;15;Sets up Stealth Rock.;0
Stone Edge;Rock;Physical;100;80;5;High critical hit ratio.;0
Stored Power;Psychic;Special;20;100;10;Power increases when user's stats have been raised.;0
Storm Throw;Fighting;Physical;60;100;10;Always results in a critical hit.;100
Strange Steam;Fairy;Special;90;95;10;May confuse opponent.;20
Strength;Normal;Physical;80;100;15;;0
Strength Sap;Grass;Status;0;100;10;The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.;100
String Shot;Bug;Status;0;95;40;Sharply lowers opponent's Speed.;0
Struggle;Normal;Physical;50;0;0;Only usable when all PP are gone. Hurts the user.;0
Struggle Bug;Bug;Special;50;100;20;Lowers opponent's Special Attack.;100
Stuff Cheeks;Normal;Status;0;0;10;The user eats its held Berry, then sharply raises its Defense stat.;100
Stun Spore;Grass;Status;0;75;30;Paralyzes opponent.;0
Submission;Fighting;Physical;80;80;20;User receives recoil damage.;0
Substitute;Normal;Status;0;0;10;Uses HP to creates a decoy that takes hits.;0
Subzero Slammer;Ice;0;0;0;1;Ice type Z-Move.;0
Sucker Punch;Dark;Physical;70;100;5;User attacks first, but only works if opponent is readying an attack.;0
Sunny Day;Fire;Status;0;0;5;Makes it sunny for 5 turns.;0
Sunsteel Strike;Steel;Physical;100;100;5;Ignores the target's ability.;0
Super Fang;Normal;Physical;0;90;10;Always takes off half of the opponent's HP.;0
Supercell Slam;Electric;Physical;100;95;15;;0
Superpower;Fighting;Physical;120;100;5;Lowers user's Attack and Defense.;100
Supersonic;Normal;Status;0;55;20;Confuses opponent.;0
Supersonic Skystrike;Flying;0;0;0;1;Flying type Z-Move.;0
Surf;Water;Special;90;100;15;Hits all adjacent Pokémon.;0
Surging Strikes;Water;Physical;25;100;5;Always results in a critical hit and ignores stat changes.;0
Swagger;Normal;Status;0;85;15;Confuses opponent, but sharply raises its Attack.;0
Swallow;Normal;Status;0;0;10;The more times the user has performed Stockpile, the more HP is recovered.;0
Sweet Kiss;Fairy;Status;0;75;10;Confuses opponent.;0
Sweet Scent;Normal;Status;0;100;20;Lowers opponent's Evasiveness.;0
Swift;Normal;Special;60;999;20;Ignores Accuracy and Evasiveness.;0
Switcheroo;Dark;Status;0;100;10;Swaps held items with the opponent.;0
Swords Dance;Normal;Status;0;0;20;Sharply raises user's Attack.;0
Synchronoise;Psychic;Special;120;100;10;Hits any Pokémon that shares a type with the user.;0
Synthesis;Grass;Status;0;0;5;User recovers HP. Amount varies with the weather.;0
Syrup Bomb;Grass;Special;60;85;10;Lowers opponent's Speed each turn for 3 turns.;0
Tachyon Cutter;Steel;Special;50;999;10;Guaranteed to hit twice in a row.;0
Tackle;Normal;Physical;40;100;35;;0
Tail Glow;Bug;Status;0;0;20;Drastically raises user's Special Attack.;0
Tail Slap;Normal;Physical;25;85;10;Hits 2-5 times in one turn.;0
Tail Whip;Normal;Status;0;100;30;Lowers opponent's Defense.;0
Tailwind;Flying;Status;0;0;15;Doubles Speed for 4 turns.;0
Take Down;Normal;Physical;90;85;20;User receives recoil damage.;0
Take Heart;Psychic;Status;0;0;10;Heals user's status conditions and raises its stats.;0
Tar Shot;Rock;Status;0;100;15;Lowers the opponent's Speed and makes them weaker to Fire-type moves.;100
Taunt;Dark;Status;0;100;20;Opponent can only use moves that attack.;0
Tearful Look;Normal;Status;0;0;20;The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.;100
Teatime;Normal;Status;0;0;10;Forces all Pokémon on the field to eat their berries.;0
Techno Blast;Normal;Special;120;100;5;Type depends on the Drive being held.;0
Tectonic Rage;Ground;0;0;0;1;Ground type Z-Move.;0
Teeter Dance;Normal;Status;0;100;20;Confuses all Pokémon.;0
Telekinesis;Psychic;Status;0;0;15;Ignores opponent's Evasiveness for three turns, add Ground immunity.;0
Teleport;Psychic;Status;0;0;20;"Allows user to flee wild battles; also warps player to last PokéCenter.";0
Temper Flare;Fire;Physical;75;100;10;;0
Tera Blast;Normal;Special;80;100;10;Changes type when the user has Terastallized.;0
Tera Starstorm;Normal;Special;120;100;5;;0
Terrain Pulse;Normal;Special;50;100;10;Type and power change depending on the Terrain in effect.;0
Thief;Dark;Physical;60;100;25;Also steals opponent's held item.;0
Thousand Arrows;Ground;Physical;90;100;10;Makes Flying-type Pokémon vulnerable to Ground moves.;0
Thousand Waves;Ground;Physical;90;100;10;Opponent cannot flee or switch.;0
Thrash;Normal;Physical;120;100;10;User attacks for 2-3 turns but then becomes confused.;0
Throat Chop;Dark;Physical;80;100;15;Prevents use of sound moves for two turns.;100
Thunder;Electric;Special;110;70;10;May paralyze opponent.;30
Thunder Cage;Electric;Special;80;90;15;Deals damage and traps opponent, damaging them for 4-5 turns.;0
Thunder Fang;Electric;Physical;65;95;15;May cause flinching and/or paralyze opponent.;10
Thunder Punch;Electric;Physical;75;100;15;May paralyze opponent.;10
Thunder Shock;Electric;Special;40;100;30;May paralyze opponent.;10
Thunder Wave;Electric;Status;0;90;20;Paralyzes opponent.;0
Thunderbolt;Electric;Special;90;100;15;May paralyze opponent.;10
Thunderclap;Electric;Special;70;100;5;Strikes before a target's move.;0
Thunderous Kick;Fighting;Physical;90;100;10;Lowers opponent's Defense.;100
Tickle;Normal;Status;0;100;20;Lowers opponent's Attack and Defense.;0
Tidy Up;Normal;Status;0;0;10;Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed.;0
Topsy-Turvy;Dark;Status;0;0;20;Reverses stat changes of opponent.;0
Torch Song;Fire;Special;80;100;10;Raises user's Special Attack.;0
Torment;Dark;Status;0;100;15;Opponent cannot use the same move in a row.;0
Toxic;Poison;Status;0;90;10;Badly poisons opponent.;0
Toxic Spikes;Poison;Status;0;0;20;Poisons opponents switching into battle.;0
Toxic Thread;Poison;Status;0;100;20;Poisons opponent and lowers its Speed.;100
Trailblaze;Grass;Physical;50;100;20;Raises user's Speed.;0
Transform;Normal;Status;0;0;10;User takes on the form and attacks of the opponent.;0
Tri Attack;Normal;Special;80;100;10;May paralyze, burn or freeze opponent.;20
Trick;Psychic;Status;0;100;10;Swaps held items with the opponent.;0
Trick Room;Psychic;Status;0;0;5;Slower Pokémon move first in the turn for 5 turns.;0
Trick-or-Treat;Ghost;Status;0;100;20;Adds Ghost type to opponent.;0
Triple Arrows;Fighting;Physical;90;100;10;High critical hit ratio. May lower opponent's Defense or cause them to flinch.;0
Triple Axel;Ice;Physical;20;90;10;Attacks thrice with more power each time.;0
Triple Dive;Water;Physical;30;95;10;Hits 3 times in a row.;0
Triple Kick;Fighting;Physical;10;90;10;Hits thrice in one turn at increasing power.;0
Trop Kick;Grass;Physical;70;100;15;Lowers opponent's Attack.;100
Trump Card;Normal;Special;0;999;5;The lower the PP, the higher the power.;0
Twin Beam;Psychic;Special;40;100;10;Hits twice in one turn.;0
Twineedle;Bug;Physical;25;100;20;Hits twice in one turn. May poison opponent.;20
Twinkle Tackle;Fairy;0;0;0;1;Fairy type Z-Move.;0
Twister;Dragon;Special;40;100;20;May cause flinching. Hits Pokémon using Fly/Bounce with double power.;20
U-turn;Bug;Physical;70;100;20;User switches out immediately after attacking.;0
Upper Hand;Fighting;Physical;65;100;15;Strikes before a target's priority move.;0
Uproar;Normal;Special;90;100;10;User attacks for 3 turns and prevents sleep.;0
V-create;Fire;Physical;180;95;5;Lowers user's Defense, Special Defense and Speed.;100
Vacuum Wave;Fighting;Special;40;100;30;User attacks first.;0
Veevee Volley;Normal;Physical;0;999;20;Power increases when player's bond is stronger.;0
Venom Drench;Poison;Status;0;100;20;Lowers poisoned opponent's Special Attack and Speed.;100
Venoshock;Poison;Special;65;100;10;Inflicts double damage if the target is poisoned.;0
Victory Dance;Fighting;Status;0;0;10;Raises Attack and Defense.;0
Vine Whip;Grass;Physical;45;100;25;;0
Vise Grip;Normal;Physical;55;100;30;;0
Vital Throw;Fighting;Physical;70;999;10;User attacks last, but ignores Accuracy and Evasiveness.;0
Volt Switch;Electric;Special;70;100;20;User must switch out after attacking.;0
Volt Tackle;Electric;Physical;120;100;15;User receives recoil damage. May paralyze opponent.;10
Wake-Up Slap;Fighting;Physical;70;100;10;Power doubles if opponent is asleep, but wakes it up.;0
Water Gun;Water;Special;40;100;25;;0
Water Pledge;Water;Special;80;100;10;Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.;0
Water Pulse;Water;Special;60;100;20;May confuse opponent.;20
Water Shuriken;Water;Special;15;100;20;Hits 2-5 times in one turn.;0
Water Sport;Water;Status;0;0;15;Weakens the power of Fire-type moves.;0
Water Spout;Water;Special;150;100;5;The higher the user's HP, the higher the damage caused.;0
Waterfall;Water;Physical;80;100;15;May cause flinching.;20
Wave Crash;Water;Physical;120;100;10;User receives recoil damage.;0
Weather Ball;Normal;Special;50;100;10;Move's power and type changes with the weather.;0
Whirlpool;Water;Special;35;85;15;Traps opponent, damaging them for 4-5 turns.;100
Whirlwind;Normal;Status;0;0;20;In battles, the opponent switches. In the wild, the Pokémon runs.;0
Wicked Blow;Dark;Physical;75;100;5;Always results in a critical hit and ignores stat changes.;0
Wicked Torque;Dark;Physical;80;100;10;May put opponent to sleep.;0
Wide Guard;Rock;Status;0;0;10;Protects the user's team from multi-target attacks.;0
Wild Charge;Electric;Physical;90;100;15;User receives recoil damage.;0
Wildbolt Storm;Electric;Special;100;80;10;May paralyze target.;0
Will-O-Wisp;Fire;Status;0;85;15;Burns opponent.;0
Wing Attack;Flying;Physical;60;100;35;;0
Wish;Normal;Status;0;0;10;The user recovers HP in the following turn.;0
Withdraw;Water;Status;0;0;40;Raises user's Defense.;0
Wonder Room;Psychic;Status;0;0;10;Swaps every Pokémon's Defense and Special Defense for 5 turns.;0
Wood Hammer;Grass;Physical;120;100;15;User receives recoil damage.;0
Work Up;Normal;Status;0;0;30;Raises user's Attack and Special Attack.;0
Worry Seed;Grass;Status;0;100;10;Changes the opponent's Ability to Insomnia.;0
Wrap;Normal;Physical;15;90;20;Traps opponent, damaging them for 4-5 turns.;100
Wring Out;Normal;Special;0;100;5;The higher the opponent's HP, the higher the damage.;0
X-Scissor;Bug;Physical;80;100;15;;0
Yawn;Normal;Status;0;0;10;Puts opponent to sleep in the next turn.;0
Zap Cannon;Electric;Special;120;50;5;Paralyzes opponent.;100
Zen Headbutt;Psychic;Physical;80;90;15;May cause flinching.;20
Zing Zap;Electric;Physical;80;100;10;May cause flinching.;30
Zippy Zap;Electric;Physical;50;100;15;Always results in a critical hit.;100
